window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774515300,69973.47,70024.77,Up,True,69999.99,0.67,True,70016.01,0.73,False,True,70036.72,0.83,True,70020.21,0.77,False,True,70019.01,0.84,False
1774515600,70024.77,69990.48,Down,True,69999.27,0.6799999999999999,True,69968.81,0.73,False,True,69957.05,0.83,True,69952.76,0.83,False,True,69967.61,0.8200000000000001,True
1774515900,69990.47,70073.48,Up,True,70001.01,0.51,True,70041.03,0.73,False,True,70055.37,0.82,True,70065.01,0.84,False,True,70061.23,0.91,False
1774516200,70077.0,70028.56,Down,True,70056.58,0.5700000000000001,False,70090.24,0.62,True,False,70090.24,0.61,True,70077.0,0.51,True,True,70063.78,0.61,True
1774516500,70028.91,69959.56,Down,True,70014.01,0.63,True,70004.58,0.6599999999999999,True,True,69944.5,0.87,True,69953.95,0.86,False,True,69919.43,0.99,False
1774516800,69959.55,69964.72,Up,True,69968.73,0.5,True,69982.28,0.55,True,True,70005.96,0.72,True,70005.01,0.77,False,True,70027.03,0.91,False
1774517100,69964.73,70031.66,Up,True,69980.29,0.6,False,69964.61,0.56,True,False,69959.85,0.5900000000000001,True,69980.4,0.65,True,True,70012.44,0.87,False
1774517400,70028.11,69469.15,Down,True,69951.01,0.8200000000000001,True,69912.0,0.89,False,True,69641.61,0.99,True,69687.19,0.99,False,True,69605.13,1.0,False
1774517700,69469.14,69443.75,Down,False,69518.46,0.63,False,69549.21,0.75,False,False,69560.85,0.8,False,69557.89,0.85,False,False,69544.1,0.82,True
1774518000,69453.21,69506.64,Up,True,69521.03,0.72,True,69516.07,0.74,False,True,69520.0,0.79,True,69470.38,0.66,True,True,69500.0,0.8,True
1774518300,69506.64,69413.38,Down,True,69504.25,0.5,True,69498.69,0.54,True,True,69450.01,0.75,True,69463.74,0.7,True,True,69452.92,0.8200000000000001,True
1774518600,69413.39,69588.41,Up,True,69500.28,0.79,True,69503.36,0.81,False,True,69544.77,0.93,True,69545.17,0.96,False,True,69559.5,0.98,False
1774518900,69588.41,69568.09,Down,True,69571.59,0.5800000000000001,True,69587.11,0.53,True,True,69580.0,0.5800000000000001,True,69575.12,0.62,True,False,69600.0,0.57,True
1774519200,69562.41,69540.44,Down,False,69570.57,0.42,False,69571.44,0.48,True,False,69571.16,0.49,False,69563.69,0.46,True,True,69552.03,0.69,True
1774519500,69540.43,69536.49,Down,True,69530.4,0.52,False,69589.51,0.73,False,False,69588.25,0.76,False,69612.87,0.87,False,False,69594.14,0.88,False
1774519800,69541.7,69579.23,Up,False,69536.27,0.48,False,69532.52,0.54,True,True,69546.93,0.48,True,69570.0,0.7,True,True,69586.17,0.8,True
